dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
cifar10_conv,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.14733333885669708,0.4571114182472229,0.08999998867511749,2597.717529296875,0.10515626519918442,2033.2843017578125,0.08271194249391556,9543.6015625,2.8518929481506348,0.5747949481010437,256.0,32768.0,None,0.001,0.00615382194519043,0.037781715393066406,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.15033333003520966,0.4614616930484772,0.08999998867511749,6471.4345703125,0.2619653046131134,4118.47509765625,0.16753539443016052,10866.6865234375,3.14816951751709,0.6385901570320129,256.0,32768.0,None,0.001,0.020027875900268555,0.036865234375,0.0
cifar10_conv,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.14666666090488434,0.4320758283138275,0.08999998867511749,13048.8828125,0.5282220840454102,12794.78515625,0.5204789042472839,8971.4609375,2.551701784133911,0.5994926691055298,256.0,32768.0,None,0.001,0.038290977478027344,0.03620123863220215,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.1446666717529297,0.4226680397987366,0.08999998867511749,7108.90185546875,0.28777015209198,6705.20068359375,0.2727607786655426,9080.4677734375,2.5706517696380615,0.6060953140258789,256.0,32768.0,None,0.001,0.020050764083862305,0.036786556243896484,0.0
cifar10_conv,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.14233332872390747,0.4215843379497528,0.08999998867511749,5621.65234375,0.2275659143924713,5319.259765625,0.21638210117816925,8802.35546875,2.5129611492156982,0.5983427166938782,256.0,32768.0,None,0.001,0.03802156448364258,0.03639864921569824,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.1535000056028366,0.4592679738998413,0.08999998867511749,4865.767578125,0.19696751236915588,3834.5576171875,0.15598592162132263,9923.4267578125,2.8757004737854004,0.6167758107185364,256.0,32768.0,None,0.001,0.016381263732910156,0.036879539489746094,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.13483333587646484,0.41594693064689636,0.08999998867511749,3244.39697265625,0.13133400678634644,2089.286376953125,0.08499005436897278,8570.830078125,2.4284257888793945,0.593881368637085,256.0,32768.0,None,0.001,0.0432889461517334,0.036911964416503906,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.13866665959358215,0.4180040955543518,0.08999998867511749,4647.36376953125,0.18812645971775055,4293.9716796875,0.17467442154884338,8385.3486328125,2.353557825088501,0.5958672761917114,256.0,32768.0,None,0.001,0.01908278465270996,0.03656482696533203,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.13833333551883698,0.416279137134552,0.08999998867511749,2420.75732421875,0.09799287468194962,1601.390869140625,0.06514295935630798,7939.72509765625,2.236741065979004,0.5815649628639221,256.0,32768.0,None,0.001,0.47757959365844727,0.05183053016662598,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,9.030274391174316,1.4142135381698608,0.13066665828227997,0.3919670283794403,0.08999998867511749,2285.167236328125,0.09250415116548538,1394.11083984375,0.05671101436018944,7827.6962890625,2.1989855766296387,0.5818260908126831,256.0,32768.0,None,0.001,0.5237843990325928,0.04757976531982422,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.13483333587646484,0.40541625022888184,0.08999998867511749,4891.69384765625,0.19801701605319977,4700.64404296875,0.19121743738651276,8024.7080078125,2.2589714527130127,0.5828775763511658,256.0,32768.0,None,0.001,0.862328052520752,0.050453901290893555,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,1.0,9.030274391174316,1.4142135381698608,0.14483332633972168,0.4393472373485565,0.08999998867511749,4316.0078125,0.17471309006214142,3526.12255859375,0.14343908429145813,9001.4990234375,2.596423625946045,0.5952618718147278,256.0,32768.0,None,0.001,0.02901601791381836,0.036330223083496094,0.0
cifar10_conv,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,1.0,9.030274391174316,1.4142135381698608,0.14416666328907013,0.42625895142555237,0.08999998867511749,5289.6318359375,0.2141256332397461,4920.04833984375,0.20014257729053497,8686.9345703125,2.4678902626037598,0.5965886116027832,256.0,32768.0,None,0.001,0.032526493072509766,0.03654026985168457,0.0
cifar10_conv,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,1.0,9.030274391174316,1.4142135381698608,0.14916665852069855,0.43761855363845825,0.08999998867511749,3933.77001953125,0.1592400074005127,2935.829833984375,0.11942657828330994,9174.7568359375,2.6318156719207764,0.5981675982475281,256.0,32768.0,None,0.001,0.03507876396179199,0.03644537925720215,0.0
cifar10_conv,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,9.030274391174316,1.4142135381698608,0.12266666442155838,0.3650265336036682,0.08999998867511749,2039.7225341796875,0.08256848901510239,1693.974853515625,0.0689091831445694,5869.78857421875,1.915014386177063,0.326164186000824,512.0,32768.0,None,0.001,0.00823354721069336,0.08335232734680176,0.0
